COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
1049,Alabama,ALWAYS,SOMETIMES,0.106
1049,Alabama,ALWAYS,FREQUENTLY,0.179
1049,Alabama,ALWAYS,ALWAYS,0.58
1051,Alabama,ALWAYS,NEVER,0.042
1051,Alabama,ALWAYS,RARELY,0.095
1051,Alabama,ALWAYS,SOMETIMES,0.127
1051,Alabama,ALWAYS,FREQUENTLY,0.252
1051,Alabama,ALWAYS,ALWAYS,0.485
1053,Alabama,ALWAYS,NEVER,0.114
1053,Alabama,ALWAYS,RARELY,0.026
1053,Alabama,ALWAYS,SOMETIMES,0.188
1053,Alabama,ALWAYS,FREQUENTLY,0.285
1053,Alabama,ALWAYS,ALWAYS,0.387
1055,Alabama,ALWAYS,NEVER,0.096
1055,Alabama,ALWAYS,RARELY,0.103
1055,Alabama,ALWAYS,SOMETIMES,0.178
1055,Alabama,ALWAYS,FREQUENTLY,0.122
1055,Alabama,ALWAYS,ALWAYS,0.501
1057,Alabama,ALWAYS,NEVER,0.138
1057,Alabama,ALWAYS,RARELY,0.048
1057,Alabama,ALWAYS,SOMETIMES,0.151
1057,Alabama,ALWAYS,FREQUENTLY,0.233
1057,Alabama,ALWAYS,ALWAYS,0.429
1059,Alabama,ALWAYS,NEVER,0.065
1059,Alabama,ALWAYS,RARELY,0.071
1059,Alabama,ALWAYS,SOMETIMES,0.223
1059,Alabama,ALWAYS,FREQUENTLY,0.156
1059,Alabama,ALWAYS,ALWAYS,0.484
1061,Alabama,ALWAYS,NEVER,0.176
1061,Alabama,ALWAYS,RARELY,0.131
1061,Alabama,ALWAYS,SOMETIMES,0.089
1061,Alabama,ALWAYS,FREQUENTLY,0.158
1061,Alabama,ALWAYS,ALWAYS,0.445
1063,Alabama,ALWAYS,NEVER,0.03
1063,Alabama,ALWAYS,RARELY,0.053
1063,Alabama,ALWAYS,SOMETIMES,0.127
1063,Alabama,ALWAYS,FREQUENTLY,0.167
1063,Alabama,ALWAYS,ALWAYS,0.623
1065,Alabama,ALWAYS,NEVER,0.026
1065,Alabama,ALWAYS,RARELY,0.061
1065,Alabama,ALWAYS,SOMETIMES,0.084
1065,Alabama,ALWAYS,FREQUENTLY,0.191
1065,Alabama,ALWAYS,ALWAYS,0.639
1067,Alabama,ALWAYS,NEVER,0.066
1067,Alabama,ALWAYS,RARELY,0.068
1067,Alabama,ALWAYS,SOMETIMES,0.17
1067,Alabama,ALWAYS,FREQUENTLY,0.258
1067,Alabama,ALWAYS,ALWAYS,0.438
1069,Alabama,ALWAYS,NEVER,0.085
1069,Alabama,ALWAYS,RARELY,0.079
1069,Alabama,ALWAYS,SOMETIMES,0.135
1069,Alabama,ALWAYS,FREQUENTLY,0.268
1069,Alabama,ALWAYS,ALWAYS,0.433
1071,Alabama,ALWAYS,NEVER,0.092
1071,Alabama,ALWAYS,RARELY,0.089
1071,Alabama,ALWAYS,SOMETIMES,0.11
