COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
29049,Missouri,ALWAYS,SOMETIMES,0.106
29049,Missouri,ALWAYS,FREQUENTLY,0.209
29049,Missouri,ALWAYS,ALWAYS,0.517
29051,Missouri,ALWAYS,NEVER,0.087
29051,Missouri,ALWAYS,RARELY,0.185
29051,Missouri,ALWAYS,SOMETIMES,0.107
29051,Missouri,ALWAYS,FREQUENTLY,0.187
29051,Missouri,ALWAYS,ALWAYS,0.434
29053,Missouri,ALWAYS,NEVER,0.06
29053,Missouri,ALWAYS,RARELY,0.09
29053,Missouri,ALWAYS,SOMETIMES,0.127
29053,Missouri,ALWAYS,FREQUENTLY,0.183
29053,Missouri,ALWAYS,ALWAYS,0.54
29055,Missouri,ALWAYS,NEVER,0.167
29055,Missouri,ALWAYS,RARELY,0.148
29055,Missouri,ALWAYS,SOMETIMES,0.136
29055,Missouri,ALWAYS,FREQUENTLY,0.159
29055,Missouri,ALWAYS,ALWAYS,0.391
29057,Missouri,ALWAYS,NEVER,0.312
29057,Missouri,ALWAYS,RARELY,0.044
29057,Missouri,ALWAYS,SOMETIMES,0.138
29057,Missouri,ALWAYS,FREQUENTLY,0.136
29057,Missouri,ALWAYS,ALWAYS,0.369
29059,Missouri,ALWAYS,NEVER,0.165
29059,Missouri,ALWAYS,RARELY,0.143
29059,Missouri,ALWAYS,SOMETIMES,0.167
29059,Missouri,ALWAYS,FREQUENTLY,0.154
29059,Missouri,ALWAYS,ALWAYS,0.371
29061,Missouri,ALWAYS,NEVER,0.124
29061,Missouri,ALWAYS,RARELY,0.166
29061,Missouri,ALWAYS,SOMETIMES,0.172
29061,Missouri,ALWAYS,FREQUENTLY,0.247
29061,Missouri,ALWAYS,ALWAYS,0.291
29063,Missouri,ALWAYS,NEVER,0.144
29063,Missouri,ALWAYS,RARELY,0.133
29063,Missouri,ALWAYS,SOMETIMES,0.159
29063,Missouri,ALWAYS,FREQUENTLY,0.241
29063,Missouri,ALWAYS,ALWAYS,0.323
29065,Missouri,ALWAYS,NEVER,0.167
29065,Missouri,ALWAYS,RARELY,0.169
29065,Missouri,ALWAYS,SOMETIMES,0.175
29065,Missouri,ALWAYS,FREQUENTLY,0.196
29065,Missouri,ALWAYS,ALWAYS,0.293
29067,Missouri,ALWAYS,NEVER,0.285
29067,Missouri,ALWAYS,RARELY,0.149
