COUNTYFP,STATE,MODE_USAGE,MASK_FREQ,RESPONSE
25015,Massachusetts,ALWAYS,SOMETIMES,0.017
25015,Massachusetts,ALWAYS,FREQUENTLY,0.109
25015,Massachusetts,ALWAYS,ALWAYS,0.857
25017,Massachusetts,ALWAYS,NEVER,0.023
25017,Massachusetts,ALWAYS,RARELY,0.011
25017,Massachusetts,ALWAYS,SOMETIMES,0.041
25017,Massachusetts,ALWAYS,FREQUENTLY,0.127
25017,Massachusetts,ALWAYS,ALWAYS,0.798
25019,Massachusetts,ALWAYS,NEVER,0.015
25019,Massachusetts,ALWAYS,RARELY,0.003
25019,Massachusetts,ALWAYS,SOMETIMES,0.034
25019,Massachusetts,ALWAYS,FREQUENTLY,0.156
25019,Massachusetts,ALWAYS,ALWAYS,0.792
25021,Massachusetts,ALWAYS,NEVER,0.02
25021,Massachusetts,ALWAYS,RARELY,0.015
25021,Massachusetts,ALWAYS,SOMETIMES,0.035
25021,Massachusetts,ALWAYS,FREQUENTLY,0.125
25021,Massachusetts,ALWAYS,ALWAYS,0.805
25023,Massachusetts,ALWAYS,NEVER,0.014
25023,Massachusetts,ALWAYS,RARELY,0.017
25023,Massachusetts,ALWAYS,SOMETIMES,0.045
25023,Massachusetts,ALWAYS,FREQUENTLY,0.112
25023,Massachusetts,ALWAYS,ALWAYS,0.812
25025,Massachusetts,ALWAYS,NEVER,0.02
25025,Massachusetts,ALWAYS,RARELY,0.007
25025,Massachusetts,ALWAYS,SOMETIMES,0.049
25025,Massachusetts,ALWAYS,FREQUENTLY,0.136
25025,Massachusetts,ALWAYS,ALWAYS,0.788
25027,Massachusetts,ALWAYS,NEVER,0.02
25027,Massachusetts,ALWAYS,RARELY,0.027
25027,Massachusetts,ALWAYS,SOMETIMES,0.043
25027,Massachusetts,ALWAYS,FREQUENTLY,0.142
25027,Massachusetts,ALWAYS,ALWAYS,0.768
44001,Rhode Island,ALWAYS,NEVER,0.007
44001,Rhode Island,ALWAYS,RARELY,0.003
44001,Rhode Island,ALWAYS,SOMETIMES,0.02
44001,Rhode Island,ALWAYS,FREQUENTLY,0.143
44001,Rhode Island,ALWAYS,ALWAYS,0.827
44003,Rhode Island,ALWAYS,NEVER,0.016
44003,Rhode Island,ALWAYS,RARELY,0.003
44003,Rhode Island,ALWAYS,SOMETIMES,0.05
44003,Rhode Island,ALWAYS,FREQUENTLY,0.123
44003,Rhode Island,ALWAYS,ALWAYS,0.807
44005,Rhode Island,ALWAYS,NEVER,0.004
44005,Rhode Island,ALWAYS,RARELY,0.006
44005,Rhode Island,ALWAYS,SOMETIMES,0.046
44005,Rhode Island,ALWAYS,FREQUENTLY,0.129
44005,Rhode Island,ALWAYS,ALWAYS,0.815
