COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,MODE_USAGE,STATE
6001,0.019,0.008,0.055,0.123,0.795,ALWAYS,California
6003,0.025,0.085,0.088,0.19,0.612,ALWAYS,California
6005,0.045,0.013,0.099,0.188,0.655,ALWAYS,California
6007,0.015,0.043,0.111,0.204,0.626,ALWAYS,California
6009,0.045,0.019,0.098,0.276,0.562,ALWAYS,California
6011,0.027,0.031,0.092,0.151,0.7,ALWAYS,California
6013,0.018,0.016,0.039,0.121,0.806,ALWAYS,California
6015,0.01,0.135,0.112,0.196,0.547,ALWAYS,California
6017,0.028,0.042,0.072,0.183,0.675,ALWAYS,California
6019,0.021,0.022,0.059,0.156,0.741,ALWAYS,California
6021,0.028,0.026,0.146,0.206,0.594,ALWAYS,California
6023,0.042,0.006,0.018,0.069,0.865,ALWAYS,California
6025,0.001,0.005,0.03,0.128,0.836,ALWAYS,California
6027,0.033,0.011,0.008,0.058,0.889,ALWAYS,California
6029,0.022,0.028,0.105,0.177,0.668,ALWAYS,California
6031,0.075,0.016,0.049,0.094,0.766,ALWAYS,California
6033,0.003,0.004,0.007,0.136,0.849,ALWAYS,California
6035,0.064,0.068,0.162,0.225,0.482,ALWAYS,California
6037,0.021,0.013,0.049,0.131,0.786,ALWAYS,California
6039,0.019,0.059,0.048,0.124,0.751,ALWAYS,California
6041,0.011,0,0.046,0.141,0.802,ALWAYS,California
6043,0.01,0.094,0.049,0.186,0.661,ALWAYS,California
6045,0.002,0.003,0.004,0.222,0.77,ALWAYS,California
6047,0.026,0.036,0.089,0.146,0.703,ALWAYS,California
6049,0.068,0.019,0.095,0.204,0.615,ALWAYS,California
6051,0.011,0.026,0.012,0.07,0.88,ALWAYS,California
6053,0.023,0.006,0.066,0.141,0.763,ALWAYS,California
6055,0.017,0.026,0.033,0.149,0.773,ALWAYS,California
6057,0.003,0.054,0.084,0.177,0.682,ALWAYS,California
6059,0.023,0.021,0.046,0.156,0.754,ALWAYS,California
6061,0.012,0.023,0.072,0.201,0.693,ALWAYS,California
6063,0.063,0.067,0.053,0.146,0.671,ALWAYS,California
6065,0.026,0.014,0.041,0.116,0.803,ALWAYS,California
6067,0.025,0.028,0.062,0.164,0.722,ALWAYS,California
6069,0.018,0.004,0.063,0.175,0.739,ALWAYS,California
6071,0.027,0.022,0.048,0.134,0.768,ALWAYS,California
6073,0.017,0.023,0.034,0.126,0.8,ALWAYS,California
6075,0.017,0.011,0.035,0.121,0.817,ALWAYS,California
6077,0.054,0.019,0.081,0.165,0.68,ALWAYS,California
6079,0.025,0.024,0.037,0.169,0.745,ALWAYS,California
6081,0.016,0.013,0.058,0.126,0.786,ALWAYS,California
6083,0.015,0.02,0.075,0.153,0.737,ALWAYS,California
6085,0.015,0.014,0.04,0.168,0.764,ALWAYS,California
6087,0.008,0,0.086,0.109,0.797,ALWAYS,California
6089,0.095,0.056,0.071,0.232,0.547,ALWAYS,California
6091,0.14,0.053,0.047,0.143,0.617,ALWAYS,California
6093,0.132,0.074,0.082,0.167,0.546,ALWAYS,California
6095,0.043,0.046,0.035,0.148,0.728,ALWAYS,California
6097,0.022,0.012,0.022,0.149,0.795,ALWAYS,California
6099,0.032,0.028,0.062,0.173,0.705,ALWAYS,California
6101,0.058,0.031,0.08,0.163,0.669,ALWAYS,California
6103,0.057,0.062,0.141,0.195,0.545,ALWAYS,California
6105,0.081,0.07,0.055,0.201,0.592,ALWAYS,California
6107,0.025,0.039,0.115,0.136,0.685,ALWAYS,California
6109,0.008,0.043,0.084,0.212,0.653,ALWAYS,California
6111,0.024,0.011,0.033,0.156,0.777,ALWAYS,California
6113,0.007,0.005,0.04,0.156,0.791,ALWAYS,California
6115,0.057,0.035,0.071,0.167,0.669,ALWAYS,California
9001,0.027,0.019,0.06,0.114,0.78,ALWAYS,Connecticut
9003,0.015,0.023,0.065,0.13,0.767,ALWAYS,Connecticut
9005,0.017,0.051,0.021,0.098,0.812,ALWAYS,Connecticut
9007,0.003,0.007,0.055,0.128,0.807,ALWAYS,Connecticut
9009,0.023,0.014,0.053,0.115,0.795,ALWAYS,Connecticut
9011,0.025,0.021,0.066,0.142,0.747,ALWAYS,Connecticut
9013,0.008,0.008,0.027,0.147,0.81,ALWAYS,Connecticut
9015,0.022,0.041,0.082,0.137,0.718,ALWAYS,Connecticut
10001,0.026,0.006,0.106,0.051,0.811,ALWAYS,Delaware
10003,0.027,0.013,0.041,0.133,0.786,ALWAYS,Delaware
10005,0.005,0.001,0.035,0.103,0.856,ALWAYS,Delaware
11001,0.012,0.013,0.069,0.164,0.743,ALWAYS,District of Columbia
15001,0.01,0.032,0.037,0.122,0.799,ALWAYS,Hawaii
15003,0.011,0.012,0.027,0.151,0.798,ALWAYS,Hawaii
15005,0.026,0.013,0.032,0.08,0.85,ALWAYS,Hawaii
15007,0,0.021,0.046,0.108,0.825,ALWAYS,Hawaii
15009,0.034,0.016,0.025,0.122,0.803,ALWAYS,Hawaii
24001,0.007,0.01,0.035,0.213,0.736,ALWAYS,Maryland
24003,0.018,0.022,0.067,0.154,0.739,ALWAYS,Maryland
24005,0.013,0.024,0.043,0.142,0.777,ALWAYS,Maryland
24009,0.049,0.049,0.071,0.11,0.72,ALWAYS,Maryland
24011,0.009,0.019,0.033,0.168,0.77,ALWAYS,Maryland
24013,0.014,0.008,0.062,0.17,0.746,ALWAYS,Maryland
24015,0.009,0.018,0.054,0.182,0.738,ALWAYS,Maryland
24017,0.035,0.034,0.107,0.157,0.667,ALWAYS,Maryland
24019,0.02,0.006,0.011,0.119,0.844,ALWAYS,Maryland
24021,0.028,0.036,0.062,0.113,0.762,ALWAYS,Maryland
24023,0.077,0.008,0.04,0.305,0.571,ALWAYS,Maryland
24025,0.008,0.009,0.037,0.168,0.778,ALWAYS,Maryland
24027,0.024,0.015,0.067,0.17,0.723,ALWAYS,Maryland
24029,0.005,0.014,0.06,0.207,0.714,ALWAYS,Maryland
24031,0.025,0.029,0.041,0.128,0.777,ALWAYS,Maryland
24033,0.087,0.034,0.064,0.094,0.72,ALWAYS,Maryland
24035,0.002,0.042,0.041,0.309,0.605,ALWAYS,Maryland
24037,0.04,0.009,0.036,0.152,0.763,ALWAYS,Maryland
24039,0.004,0.01,0.047,0.128,0.812,ALWAYS,Maryland
24041,0.012,0.012,0.006,0.127,0.843,ALWAYS,Maryland
24043,0.031,0.047,0.085,0.194,0.642,ALWAYS,Maryland
24045,0.006,0.011,0.063,0.116,0.804,ALWAYS,Maryland
24047,0.003,0.004,0.042,0.11,0.842,ALWAYS,Maryland
24510,0.024,0.032,0.063,0.148,0.733,ALWAYS,Maryland
25001,0.019,0.007,0.026,0.109,0.839,ALWAYS,Massachusetts
25003,0.03,0.004,0.049,0.082,0.834,ALWAYS,Massachusetts
25005,0.016,0.02,0.056,0.161,0.747,ALWAYS,Massachusetts
25007,0.006,0.01,0.037,0.16,0.786,ALWAYS,Massachusetts
25009,0.023,0.01,0.047,0.131,0.788,ALWAYS,Massachusetts
25011,0.043,0.011,0.028,0.156,0.762,ALWAYS,Massachusetts
25013,0.013,0.017,0.055,0.13,0.786,ALWAYS,Massachusetts
25015,0.011,0.006,0.017,0.109,0.857,ALWAYS,Massachusetts
25017,0.023,0.011,0.041,0.127,0.798,ALWAYS,Massachusetts
25019,0.015,0.003,0.034,0.156,0.792,ALWAYS,Massachusetts
25021,0.02,0.015,0.035,0.125,0.805,ALWAYS,Massachusetts
25023,0.014,0.017,0.045,0.112,0.812,ALWAYS,Massachusetts
25025,0.02,0.007,0.049,0.136,0.788,ALWAYS,Massachusetts
25027,0.02,0.027,0.043,0.142,0.768,ALWAYS,Massachusetts
34001,0.019,0.041,0.03,0.176,0.734,ALWAYS,New Jersey
34003,0.02,0.014,0.053,0.151,0.762,ALWAYS,New Jersey
