COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,MODE_USAGE,STATE
34005,0.023,0.02,0.043,0.134,0.779,ALWAYS,New Jersey
34007,0.028,0.005,0.027,0.137,0.802,ALWAYS,New Jersey
34009,0.013,0.011,0.022,0.214,0.74,ALWAYS,New Jersey
34011,0.032,0.006,0.058,0.142,0.762,ALWAYS,New Jersey
34013,0.035,0.014,0.085,0.183,0.682,ALWAYS,New Jersey
34015,0.047,0.01,0.052,0.145,0.746,ALWAYS,New Jersey
34017,0.022,0.019,0.077,0.211,0.67,ALWAYS,New Jersey
34019,0.007,0.038,0.065,0.085,0.804,ALWAYS,New Jersey
34021,0.017,0.014,0.05,0.162,0.757,ALWAYS,New Jersey
34023,0.02,0.016,0.054,0.146,0.765,ALWAYS,New Jersey
34025,0.01,0.022,0.041,0.164,0.764,ALWAYS,New Jersey
34027,0.023,0.018,0.049,0.191,0.72,ALWAYS,New Jersey
34029,0.012,0.056,0.055,0.104,0.772,ALWAYS,New Jersey
34031,0.029,0.015,0.063,0.138,0.756,ALWAYS,New Jersey
34033,0.041,0.043,0.036,0.154,0.726,ALWAYS,New Jersey
34035,0.016,0.027,0.046,0.12,0.791,ALWAYS,New Jersey
34037,0.02,0.026,0.029,0.205,0.72,ALWAYS,New Jersey
34039,0.012,0.011,0.059,0.202,0.716,ALWAYS,New Jersey
34041,0.035,0.02,0.044,0.152,0.749,ALWAYS,New Jersey
36001,0.006,0.012,0.052,0.142,0.788,ALWAYS,New York
36003,0.062,0.015,0.028,0.124,0.771,ALWAYS,New York
36005,0.043,0.013,0.066,0.136,0.742,ALWAYS,New York
36007,0.044,0.028,0.051,0.066,0.812,ALWAYS,New York
36009,0.015,0.013,0.024,0.156,0.793,ALWAYS,New York
36011,0,0.033,0.072,0.162,0.732,ALWAYS,New York
36013,0.029,0.024,0.038,0.206,0.703,ALWAYS,New York
36015,0.012,0.046,0.092,0.256,0.594,ALWAYS,New York
36017,0.048,0.045,0.015,0.156,0.735,ALWAYS,New York
36019,0.017,0.024,0.102,0.084,0.773,ALWAYS,New York
36021,0.014,0.004,0.029,0.104,0.848,ALWAYS,New York
36023,0.001,0.062,0.015,0.118,0.803,ALWAYS,New York
36025,0.057,0.053,0.034,0.112,0.744,ALWAYS,New York
36027,0.007,0.009,0.031,0.099,0.854,ALWAYS,New York
36029,0.018,0.014,0.04,0.161,0.766,ALWAYS,New York
36031,0.05,0.05,0.057,0.107,0.736,ALWAYS,New York
36033,0.026,0.027,0.117,0.097,0.733,ALWAYS,New York
36035,0.078,0.015,0.06,0.118,0.729,ALWAYS,New York
36037,0.001,0.017,0.015,0.187,0.781,ALWAYS,New York
36039,0.022,0.014,0.03,0.146,0.788,ALWAYS,New York
36041,0.042,0.024,0.053,0.229,0.653,ALWAYS,New York
36043,0.015,0.026,0.042,0.158,0.758,ALWAYS,New York
36045,0.008,0.058,0.038,0.116,0.78,ALWAYS,New York
36047,0.035,0.034,0.058,0.141,0.732,ALWAYS,New York
36049,0.069,0.036,0.02,0.11,0.765,ALWAYS,New York
36051,0.011,0.034,0.009,0.111,0.835,ALWAYS,New York
36053,0.003,0.015,0.043,0.107,0.832,ALWAYS,New York
36055,0.018,0.012,0.056,0.129,0.785,ALWAYS,New York
36057,0.102,0.005,0.054,0.09,0.749,ALWAYS,New York
36059,0.017,0.018,0.043,0.142,0.779,ALWAYS,New York
36061,0.02,0.016,0.04,0.121,0.803,ALWAYS,New York
36063,0.001,0.028,0.037,0.204,0.73,ALWAYS,New York
36065,0.016,0.025,0.033,0.153,0.774,ALWAYS,New York
36067,0.019,0.008,0.054,0.163,0.756,ALWAYS,New York
36069,0.001,0.012,0.031,0.107,0.849,ALWAYS,New York
36071,0.023,0.008,0.042,0.18,0.746,ALWAYS,New York
36073,0.001,0.033,0.059,0.213,0.693,ALWAYS,New York
36075,0.017,0.003,0.094,0.119,0.766,ALWAYS,New York
36077,0.032,0.065,0.027,0.096,0.779,ALWAYS,New York
36079,0.003,0.018,0.022,0.105,0.852,ALWAYS,New York
36081,0.022,0.023,0.068,0.136,0.751,ALWAYS,New York
36083,0.018,0.018,0.073,0.14,0.751,ALWAYS,New York
36085,0.033,0.015,0.046,0.178,0.728,ALWAYS,New York
36087,0.011,0.018,0.054,0.195,0.722,ALWAYS,New York
36089,0.027,0.029,0.095,0.149,0.701,ALWAYS,New York
36091,0.02,0.012,0.062,0.156,0.751,ALWAYS,New York
36093,0.04,0.007,0.051,0.06,0.841,ALWAYS,New York
36095,0.007,0.02,0.04,0.108,0.825,ALWAYS,New York
36097,0.01,0.009,0.071,0.239,0.67,ALWAYS,New York
36099,0.001,0.012,0.042,0.082,0.864,ALWAYS,New York
36101,0.036,0.031,0.057,0.201,0.674,ALWAYS,New York
36103,0.04,0.019,0.053,0.106,0.782,ALWAYS,New York
36105,0.024,0.03,0.043,0.085,0.817,ALWAYS,New York
36107,0.019,0.011,0.018,0.114,0.839,ALWAYS,New York
36109,0.012,0.01,0.046,0.098,0.833,ALWAYS,New York
36111,0.014,0.023,0.045,0.1,0.818,ALWAYS,New York
36113,0.026,0.018,0.104,0.13,0.723,ALWAYS,New York
36115,0.026,0.027,0.135,0.138,0.673,ALWAYS,New York
36117,0.001,0.016,0.061,0.132,0.789,ALWAYS,New York
36119,0.025,0.018,0.044,0.115,0.798,ALWAYS,New York
36121,0.001,0.024,0.008,0.107,0.861,ALWAYS,New York
36123,0,0.006,0.023,0.087,0.884,ALWAYS,New York
44001,0.007,0.003,0.02,0.143,0.827,ALWAYS,Rhode Island
44003,0.016,0.003,0.05,0.123,0.807,ALWAYS,Rhode Island
44005,0.004,0.006,0.046,0.129,0.815,ALWAYS,Rhode Island
44007,0.022,0.014,0.05,0.159,0.754,ALWAYS,Rhode Island
44009,0.012,0.022,0.034,0.126,0.807,ALWAYS,Rhode Island
