COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,MODE_USAGE,STATE
16001,0.118,0.078,0.084,0.194,0.526,ALWAYS,Idaho
16003,0.094,0.216,0.218,0.218,0.254,ALWAYS,Idaho
16005,0.084,0.193,0.176,0.195,0.352,ALWAYS,Idaho
16007,0.151,0.12,0.102,0.243,0.385,ALWAYS,Idaho
16009,0.038,0.059,0.15,0.152,0.601,ALWAYS,Idaho
16011,0.095,0.197,0.175,0.229,0.304,ALWAYS,Idaho
16013,0.155,0.107,0.102,0.13,0.506,ALWAYS,Idaho
16015,0.057,0.038,0.038,0.549,0.318,FREQUENTLY,Idaho
16017,0.088,0.116,0.119,0.241,0.436,ALWAYS,Idaho
16019,0.096,0.202,0.188,0.247,0.268,ALWAYS,Idaho
16021,0.045,0.171,0.061,0.185,0.537,ALWAYS,Idaho
16023,0.107,0.213,0.159,0.222,0.298,ALWAYS,Idaho
16025,0.186,0.03,0.047,0.098,0.639,ALWAYS,Idaho
16027,0.113,0.095,0.17,0.24,0.381,ALWAYS,Idaho
16029,0.1,0.181,0.191,0.202,0.326,ALWAYS,Idaho
16031,0.134,0.223,0.102,0.149,0.392,ALWAYS,Idaho
16033,0.119,0.228,0.196,0.239,0.218,FREQUENTLY,Idaho
16035,0.037,0.112,0.127,0.25,0.475,ALWAYS,Idaho
16037,0.069,0.029,0.199,0.244,0.458,ALWAYS,Idaho
16039,0.206,0.044,0.038,0.173,0.539,ALWAYS,Idaho
16041,0.131,0.118,0.085,0.256,0.41,ALWAYS,Idaho
16043,0.111,0.206,0.202,0.247,0.233,FREQUENTLY,Idaho
16045,0.119,0.136,0.111,0.198,0.436,ALWAYS,Idaho
16047,0.211,0.202,0.089,0.153,0.345,ALWAYS,Idaho
16049,0.045,0.094,0.164,0.275,0.423,ALWAYS,Idaho
16051,0.099,0.208,0.192,0.249,0.252,ALWAYS,Idaho
16053,0.175,0.219,0.096,0.167,0.343,ALWAYS,Idaho
16055,0.146,0.105,0.17,0.22,0.359,ALWAYS,Idaho
16057,0.002,0.012,0.066,0.328,0.592,ALWAYS,Idaho
16059,0.109,0.173,0.231,0.125,0.362,ALWAYS,Idaho
16061,0.027,0.073,0.157,0.285,0.459,ALWAYS,Idaho
16063,0.18,0.2,0.105,0.135,0.379,ALWAYS,Idaho
16065,0.101,0.207,0.196,0.25,0.245,FREQUENTLY,Idaho
16067,0.134,0.219,0.106,0.152,0.39,ALWAYS,Idaho
16069,0.009,0.03,0.117,0.326,0.517,ALWAYS,Idaho
16071,0.083,0.173,0.153,0.185,0.406,ALWAYS,Idaho
16073,0.123,0.137,0.146,0.171,0.423,ALWAYS,Idaho
16075,0.081,0.199,0.174,0.242,0.304,ALWAYS,Idaho
16077,0.078,0.205,0.152,0.185,0.381,ALWAYS,Idaho
16079,0.068,0.144,0.299,0.147,0.342,ALWAYS,Idaho
16081,0.099,0.189,0.19,0.25,0.272,ALWAYS,Idaho
16083,0.166,0.222,0.101,0.177,0.335,ALWAYS,Idaho
16085,0.041,0.118,0.102,0.378,0.361,FREQUENTLY,Idaho
16087,0.136,0.13,0.324,0.172,0.239,SOMETIMES,Idaho
19001,0.073,0.128,0.128,0.307,0.364,ALWAYS,Iowa
19003,0.148,0.11,0.15,0.311,0.281,FREQUENTLY,Iowa
19005,0.138,0.049,0.132,0.212,0.469,ALWAYS,Iowa
19007,0.044,0.11,0.239,0.193,0.413,ALWAYS,Iowa
19009,0.224,0.073,0.194,0.187,0.322,ALWAYS,Iowa
19011,0.098,0.067,0.13,0.2,0.504,ALWAYS,Iowa
19013,0.032,0.053,0.18,0.289,0.447,ALWAYS,Iowa
19015,0.09,0.08,0.1,0.197,0.533,ALWAYS,Iowa
19017,0.048,0.062,0.197,0.268,0.424,ALWAYS,Iowa
19019,0.021,0.124,0.087,0.394,0.373,FREQUENTLY,Iowa
19021,0.183,0.062,0.26,0.207,0.288,ALWAYS,Iowa
19023,0.052,0.094,0.208,0.23,0.417,ALWAYS,Iowa
19025,0.212,0.117,0.213,0.153,0.304,ALWAYS,Iowa
19027,0.153,0.11,0.241,0.139,0.358,ALWAYS,Iowa
19029,0.341,0.07,0.124,0.238,0.227,NEVER,Iowa
19031,0.026,0.096,0.142,0.355,0.381,ALWAYS,Iowa
19033,0.061,0.365,0.146,0.213,0.215,RARELY,Iowa
19035,0.183,0.105,0.221,0.182,0.309,ALWAYS,Iowa
19037,0.075,0.136,0.197,0.236,0.356,ALWAYS,Iowa
19039,0.078,0.167,0.143,0.194,0.418,ALWAYS,Iowa
19041,0.224,0.035,0.112,0.189,0.441,ALWAYS,Iowa
19043,0.123,0.084,0.137,0.284,0.371,ALWAYS,Iowa
19045,0.092,0.13,0.079,0.269,0.43,ALWAYS,Iowa
19047,0.089,0.045,0.141,0.064,0.66,ALWAYS,Iowa
19049,0.036,0.102,0.118,0.26,0.485,ALWAYS,Iowa
19051,0.038,0.101,0.249,0.201,0.411,ALWAYS,Iowa
19053,0.248,0.132,0.258,0.068,0.294,ALWAYS,Iowa
19055,0.035,0.137,0.137,0.408,0.283,FREQUENTLY,Iowa
19057,0.135,0.081,0.109,0.122,0.553,ALWAYS,Iowa
19059,0.276,0.027,0.091,0.173,0.433,ALWAYS,Iowa
19061,0.037,0.155,0.189,0.189,0.43,ALWAYS,Iowa
19063,0.241,0.083,0.067,0.181,0.428,ALWAYS,Iowa
19065,0.054,0.075,0.128,0.349,0.394,ALWAYS,Iowa
19067,0.063,0.271,0.148,0.25,0.268,RARELY,Iowa
19069,0.088,0.278,0.187,0.186,0.261,RARELY,Iowa
19071,0.048,0.061,0.071,0.209,0.611,ALWAYS,Iowa
19073,0.116,0.141,0.235,0.153,0.354,ALWAYS,Iowa
19075,0.038,0.042,0.203,0.238,0.48,ALWAYS,Iowa
19077,0.162,0.073,0.143,0.283,0.34,ALWAYS,Iowa
19079,0.143,0.118,0.129,0.153,0.457,ALWAYS,Iowa
19081,0.08,0.384,0.146,0.174,0.216,RARELY,Iowa
19083,0.074,0.075,0.195,0.214,0.441,ALWAYS,Iowa
19085,0.118,0.044,0.094,0.178,0.565,ALWAYS,Iowa
19087,0.123,0.142,0.091,0.183,0.461,ALWAYS,Iowa
19089,0.077,0.151,0.176,0.183,0.413,ALWAYS,Iowa
19091,0.243,0.268,0.147,0.102,0.24,RARELY,Iowa
19093,0.153,0.094,0.246,0.128,0.38,ALWAYS,Iowa
19095,0.027,0.149,0.135,0.239,0.45,ALWAYS,Iowa
19097,0.032,0.096,0.229,0.232,0.411,ALWAYS,Iowa
19099,0.102,0.105,0.233,0.212,0.347,ALWAYS,Iowa
19101,0.074,0.116,0.221,0.191,0.398,ALWAYS,Iowa
19103,0.014,0.044,0.069,0.2,0.673,ALWAYS,Iowa
19105,0.04,0.105,0.165,0.336,0.355,ALWAYS,Iowa
19107,0.035,0.126,0.287,0.28,0.272,SOMETIMES,Iowa
19109,0.135,0.318,0.101,0.173,0.272,RARELY,Iowa
19111,0.17,0.146,0.131,0.161,0.392,ALWAYS,Iowa
19113,0.039,0.081,0.115,0.201,0.563,ALWAYS,Iowa
19115,0.097,0.058,0.15,0.214,0.482,ALWAYS,Iowa
19117,0.032,0.204,0.196,0.185,0.384,ALWAYS,Iowa
19119,0.078,0.173,0.157,0.247,0.344,ALWAYS,Iowa
19121,0.01,0.102,0.136,0.268,0.484,ALWAYS,Iowa
19123,0.069,0.067,0.294,0.283,0.287,SOMETIMES,Iowa
19125,0.053,0.049,0.209,0.26,0.429,ALWAYS,Iowa
19127,0.077,0.064,0.153,0.226,0.48,ALWAYS,Iowa
19129,0.064,0.084,0.091,0.281,0.481,ALWAYS,Iowa
19131,0.046,0.282,0.149,0.26,0.263,RARELY,Iowa
19133,0.078,0.069,0.087,0.127,0.64,ALWAYS,Iowa
19135,0.034,0.078,0.256,0.247,0.385,ALWAYS,Iowa
19137,0.218,0.034,0.084,0.378,0.286,FREQUENTLY,Iowa
19139,0.12,0.022,0.221,0.273,0.364,ALWAYS,Iowa
19141,0.173,0.054,0.267,0.187,0.319,ALWAYS,Iowa
19143,0.195,0.051,0.233,0.199,0.322,ALWAYS,Iowa
19145,0.088,0.053,0.068,0.31,0.481,ALWAYS,Iowa
19147,0.199,0.116,0.088,0.179,0.419,ALWAYS,Iowa
19149,0.125,0.145,0.166,0.162,0.402,ALWAYS,Iowa
19151,0.214,0.124,0.162,0.165,0.335,ALWAYS,Iowa
19153,0.044,0.089,0.136,0.259,0.473,ALWAYS,Iowa
19155,0.115,0.083,0.147,0.264,0.39,ALWAYS,Iowa
19157,0.121,0.145,0.187,0.164,0.383,ALWAYS,Iowa
19159,0.144,0.138,0.281,0.162,0.275,SOMETIMES,Iowa
19161,0.18,0.071,0.286,0.159,0.303,ALWAYS,Iowa
19163,0.075,0.027,0.126,0.277,0.494,ALWAYS,Iowa
19165,0.099,0.059,0.182,0.145,0.516,ALWAYS,Iowa
19167,0.12,0.06,0.285,0.2,0.335,ALWAYS,Iowa
19169,0.045,0.075,0.071,0.235,0.574,ALWAYS,Iowa
19171,0.066,0.053,0.209,0.181,0.491,ALWAYS,Iowa
19173,0.09,0.151,0.185,0.282,0.292,ALWAYS,Iowa
19175,0.03,0.125,0.172,0.21,0.462,ALWAYS,Iowa
19177,0.107,0.128,0.175,0.218,0.372,ALWAYS,Iowa
19179,0.034,0.082,0.293,0.221,0.37,ALWAYS,Iowa
19181,0.055,0.182,0.181,0.245,0.337,ALWAYS,Iowa
19183,0.035,0.102,0.123,0.151,0.589,ALWAYS,Iowa
19185,0.138,0.148,0.252,0.12,0.342,ALWAYS,Iowa
19187,0.209,0.167,0.161,0.101,0.362,ALWAYS,Iowa
19189,0.07,0.329,0.176,0.197,0.228,RARELY,Iowa
19191,0.122,0.044,0.151,0.177,0.505,ALWAYS,Iowa
19193,0.113,0.165,0.137,0.16,0.425,ALWAYS,Iowa
19195,0.072,0.271,0.175,0.231,0.251,RARELY,Iowa
19197,0.172,0.299,0.173,0.125,0.232,RARELY,Iowa
20001,0.153,0.212,0.126,0.167,0.341,ALWAYS,Kansas
20003,0.189,0.063,0.137,0.267,0.344,ALWAYS,Kansas
20005,0.137,0.122,0.169,0.256,0.316,ALWAYS,Kansas
20007,0.069,0.147,0.118,0.329,0.336,ALWAYS,Kansas
20009,0.107,0.131,0.12,0.211,0.43,ALWAYS,Kansas
20011,0.167,0.146,0.077,0.12,0.49,ALWAYS,Kansas
20013,0.089,0.149,0.183,0.197,0.382,ALWAYS,Kansas
20015,0.053,0.133,0.122,0.222,0.47,ALWAYS,Kansas
20017,0.151,0.082,0.212,0.225,0.331,ALWAYS,Kansas
20019,0.128,0.137,0.185,0.214,0.337,ALWAYS,Kansas
20021,0.131,0.121,0.164,0.174,0.41,ALWAYS,Kansas
20023,0.065,0.27,0.174,0.235,0.256,RARELY,Kansas
20025,0.163,0.13,0.126,0.232,0.348,ALWAYS,Kansas
20027,0.081,0.069,0.115,0.229,0.507,ALWAYS,Kansas
20029,0.154,0.077,0.118,0.217,0.434,ALWAYS,Kansas
20031,0.085,0.119,0.165,0.404,0.227,FREQUENTLY,Kansas
20033,0.112,0.144,0.128,0.271,0.346,ALWAYS,Kansas
20035,0.075,0.093,0.28,0.131,0.421,ALWAYS,Kansas
20037,0.108,0.143,0.118,0.139,0.492,ALWAYS,Kansas
20039,0.163,0.118,0.211,0.235,0.273,ALWAYS,Kansas
20041,0.106,0.118,0.148,0.243,0.385,ALWAYS,Kansas
20043,0.137,0.193,0.184,0.214,0.272,ALWAYS,Kansas
20045,0.006,0.009,0.024,0.227,0.734,ALWAYS,Kansas
