COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,MODE_USAGE,STATE
20047,0.052,0.086,0.135,0.221,0.506,ALWAYS,Kansas
20049,0.061,0.05,0.295,0.282,0.312,ALWAYS,Kansas
20051,0.154,0.154,0.224,0.148,0.32,ALWAYS,Kansas
20053,0.174,0.133,0.133,0.187,0.373,ALWAYS,Kansas
20055,0.166,0.089,0.163,0.239,0.343,ALWAYS,Kansas
20057,0.143,0.084,0.143,0.232,0.399,ALWAYS,Kansas
20059,0.063,0.06,0.159,0.354,0.364,ALWAYS,Kansas
20061,0.05,0.068,0.113,0.27,0.499,ALWAYS,Kansas
20063,0.24,0.089,0.234,0.151,0.287,ALWAYS,Kansas
20065,0.218,0.156,0.247,0.129,0.25,ALWAYS,Kansas
20067,0.14,0.108,0.15,0.231,0.37,ALWAYS,Kansas
20069,0.158,0.092,0.146,0.24,0.364,ALWAYS,Kansas
20071,0.135,0.131,0.181,0.229,0.323,ALWAYS,Kansas
20073,0.034,0.079,0.256,0.302,0.33,ALWAYS,Kansas
20075,0.131,0.095,0.189,0.217,0.368,ALWAYS,Kansas
20077,0.079,0.118,0.21,0.193,0.4,ALWAYS,Kansas
20079,0.075,0.058,0.121,0.323,0.423,ALWAYS,Kansas
20081,0.153,0.107,0.137,0.239,0.364,ALWAYS,Kansas
20083,0.126,0.075,0.163,0.225,0.412,ALWAYS,Kansas
20085,0.01,0.116,0.161,0.136,0.577,ALWAYS,Kansas
20087,0.026,0.069,0.09,0.182,0.634,ALWAYS,Kansas
20089,0.171,0.142,0.087,0.259,0.34,ALWAYS,Kansas
20091,0.029,0.019,0.075,0.224,0.654,ALWAYS,Kansas
20093,0.155,0.098,0.172,0.229,0.346,ALWAYS,Kansas
20095,0.081,0.212,0.114,0.128,0.464,ALWAYS,Kansas
20097,0.062,0.107,0.128,0.233,0.469,ALWAYS,Kansas
20099,0.168,0.123,0.091,0.147,0.471,ALWAYS,Kansas
20101,0.197,0.075,0.197,0.204,0.326,ALWAYS,Kansas
20103,0.087,0.135,0.092,0.142,0.544,ALWAYS,Kansas
20105,0.171,0.132,0.16,0.163,0.375,ALWAYS,Kansas
20107,0.14,0.053,0.121,0.285,0.4,ALWAYS,Kansas
20109,0.206,0.131,0.194,0.189,0.28,ALWAYS,Kansas
20111,0.113,0.111,0.133,0.3,0.344,ALWAYS,Kansas
20113,0.12,0.065,0.106,0.313,0.396,ALWAYS,Kansas
20115,0.101,0.068,0.209,0.279,0.343,ALWAYS,Kansas
20117,0.048,0.049,0.233,0.263,0.407,ALWAYS,Kansas
20119,0.164,0.123,0.115,0.235,0.362,ALWAYS,Kansas
20121,0.071,0.044,0.095,0.25,0.54,ALWAYS,Kansas
20123,0.173,0.116,0.144,0.18,0.388,ALWAYS,Kansas
20125,0.164,0.132,0.102,0.195,0.407,ALWAYS,Kansas
20127,0.11,0.094,0.148,0.244,0.404,ALWAYS,Kansas
20129,0.12,0.113,0.144,0.218,0.405,ALWAYS,Kansas
20131,0.035,0.094,0.203,0.236,0.432,ALWAYS,Kansas
20133,0.133,0.204,0.12,0.127,0.416,ALWAYS,Kansas
20135,0.15,0.083,0.199,0.198,0.371,ALWAYS,Kansas
20137,0.161,0.163,0.177,0.225,0.275,ALWAYS,Kansas
20139,0.018,0.09,0.088,0.24,0.564,ALWAYS,Kansas
20141,0.174,0.233,0.163,0.136,0.293,ALWAYS,Kansas
20143,0.131,0.117,0.164,0.191,0.396,ALWAYS,Kansas
20145,0.053,0.096,0.137,0.217,0.497,ALWAYS,Kansas
20147,0.15,0.244,0.126,0.19,0.29,ALWAYS,Kansas
20149,0.012,0.057,0.145,0.236,0.55,ALWAYS,Kansas
20151,0.02,0.183,0.101,0.309,0.387,ALWAYS,Kansas
20153,0.128,0.174,0.209,0.22,0.268,ALWAYS,Kansas
20155,0.135,0.077,0.143,0.191,0.454,ALWAYS,Kansas
20157,0.183,0.073,0.076,0.295,0.373,ALWAYS,Kansas
20159,0.153,0.086,0.11,0.241,0.41,ALWAYS,Kansas
20161,0.03,0.05,0.124,0.261,0.535,ALWAYS,Kansas
20163,0.179,0.22,0.218,0.123,0.26,ALWAYS,Kansas
20165,0.11,0.122,0.182,0.183,0.403,ALWAYS,Kansas
20167,0.16,0.174,0.174,0.157,0.335,ALWAYS,Kansas
20169,0.126,0.133,0.175,0.209,0.357,ALWAYS,Kansas
20171,0.197,0.09,0.19,0.21,0.313,ALWAYS,Kansas
20173,0.06,0.055,0.126,0.26,0.499,ALWAYS,Kansas
20175,0.138,0.14,0.092,0.226,0.403,ALWAYS,Kansas
20177,0.009,0.078,0.095,0.184,0.633,ALWAYS,Kansas
20179,0.231,0.112,0.236,0.154,0.267,ALWAYS,Kansas
20181,0.1,0.27,0.159,0.24,0.231,RARELY,Kansas
20183,0.142,0.257,0.088,0.195,0.319,ALWAYS,Kansas
20185,0.041,0.125,0.109,0.252,0.472,ALWAYS,Kansas
20187,0.127,0.098,0.172,0.216,0.388,ALWAYS,Kansas
20189,0.122,0.132,0.112,0.225,0.408,ALWAYS,Kansas
20191,0.104,0.039,0.115,0.298,0.444,ALWAYS,Kansas
20193,0.188,0.157,0.208,0.184,0.263,ALWAYS,Kansas
20195,0.203,0.115,0.256,0.137,0.291,ALWAYS,Kansas
20197,0.011,0.077,0.12,0.201,0.591,ALWAYS,Kansas
20199,0.128,0.21,0.154,0.246,0.262,ALWAYS,Kansas
20201,0.148,0.075,0.111,0.234,0.432,ALWAYS,Kansas
20203,0.173,0.112,0.184,0.219,0.313,ALWAYS,Kansas
20205,0.125,0.148,0.145,0.184,0.398,ALWAYS,Kansas
20207,0.092,0.175,0.171,0.247,0.314,ALWAYS,Kansas
20209,0.025,0.056,0.076,0.178,0.665,ALWAYS,Kansas
27001,0.187,0.115,0.075,0.247,0.375,ALWAYS,Minnesota
27003,0.054,0.078,0.132,0.245,0.492,ALWAYS,Minnesota
27005,0.052,0.28,0.175,0.24,0.252,RARELY,Minnesota
27007,0.094,0.155,0.225,0.185,0.34,ALWAYS,Minnesota
27009,0.084,0.139,0.209,0.147,0.42,ALWAYS,Minnesota
27011,0.256,0.121,0.185,0.146,0.292,ALWAYS,Minnesota
27013,0.065,0.078,0.146,0.276,0.435,ALWAYS,Minnesota
27015,0.101,0.061,0.251,0.265,0.322,ALWAYS,Minnesota
27017,0.058,0.054,0.09,0.329,0.469,ALWAYS,Minnesota
27019,0.024,0.128,0.183,0.296,0.368,ALWAYS,Minnesota
27021,0.105,0.127,0.107,0.235,0.426,ALWAYS,Minnesota
27023,0.108,0.106,0.244,0.224,0.318,ALWAYS,Minnesota
27025,0.064,0.104,0.165,0.253,0.414,ALWAYS,Minnesota
27027,0.092,0.121,0.138,0.23,0.419,ALWAYS,Minnesota
27029,0.065,0.21,0.203,0.172,0.351,ALWAYS,Minnesota
27031,0.184,0.02,0.038,0.257,0.5,ALWAYS,Minnesota
27033,0.216,0.045,0.262,0.215,0.263,ALWAYS,Minnesota
27035,0.147,0.112,0.081,0.249,0.411,ALWAYS,Minnesota
27037,0.072,0.076,0.129,0.236,0.488,ALWAYS,Minnesota
27039,0.035,0.096,0.071,0.325,0.473,ALWAYS,Minnesota
27041,0.099,0.178,0.148,0.225,0.35,ALWAYS,Minnesota
27043,0.078,0.158,0.163,0.261,0.34,ALWAYS,Minnesota
27045,0.026,0.102,0.099,0.29,0.483,ALWAYS,Minnesota
27047,0.135,0.085,0.206,0.283,0.291,ALWAYS,Minnesota
27049,0.03,0.039,0.138,0.28,0.513,ALWAYS,Minnesota
27051,0.11,0.137,0.193,0.165,0.396,ALWAYS,Minnesota
27053,0.021,0.044,0.096,0.243,0.596,ALWAYS,Minnesota
27055,0.072,0.08,0.086,0.283,0.478,ALWAYS,Minnesota
27057,0.078,0.15,0.164,0.227,0.38,ALWAYS,Minnesota
27059,0.104,0.099,0.215,0.14,0.442,ALWAYS,Minnesota
27061,0.162,0.142,0.151,0.209,0.336,ALWAYS,Minnesota
27063,0.325,0.024,0.14,0.171,0.34,ALWAYS,Minnesota
27065,0.223,0.148,0.137,0.146,0.346,ALWAYS,Minnesota
27067,0.109,0.107,0.182,0.29,0.312,ALWAYS,Minnesota
27069,0.068,0.168,0.221,0.251,0.292,ALWAYS,Minnesota
27071,0.159,0.183,0.087,0.255,0.316,ALWAYS,Minnesota
27073,0.184,0.096,0.248,0.179,0.293,ALWAYS,Minnesota
27075,0.087,0.033,0.075,0.341,0.464,ALWAYS,Minnesota
27077,0.091,0.171,0.176,0.249,0.313,ALWAYS,Minnesota
27079,0.055,0.168,0.147,0.254,0.377,ALWAYS,Minnesota
27081,0.11,0.078,0.203,0.292,0.317,ALWAYS,Minnesota
27083,0.134,0.075,0.242,0.21,0.339,ALWAYS,Minnesota
27085,0.061,0.176,0.193,0.383,0.186,FREQUENTLY,Minnesota
27087,0.07,0.279,0.083,0.185,0.382,ALWAYS,Minnesota
27089,0.078,0.152,0.221,0.234,0.315,ALWAYS,Minnesota
27091,0.18,0.115,0.134,0.205,0.366,ALWAYS,Minnesota
27093,0.072,0.144,0.094,0.323,0.367,ALWAYS,Minnesota
27095,0.224,0.122,0.159,0.146,0.349,ALWAYS,Minnesota
27097,0.14,0.126,0.121,0.24,0.373,ALWAYS,Minnesota
27099,0.071,0.107,0.113,0.262,0.448,ALWAYS,Minnesota
27101,0.131,0.071,0.224,0.27,0.303,ALWAYS,Minnesota
27103,0.063,0.085,0.164,0.296,0.392,ALWAYS,Minnesota
27105,0.244,0.078,0.18,0.215,0.284,ALWAYS,Minnesota
27107,0.122,0.154,0.109,0.186,0.428,ALWAYS,Minnesota
27109,0.023,0.101,0.057,0.333,0.485,ALWAYS,Minnesota
27111,0.078,0.182,0.278,0.17,0.291,ALWAYS,Minnesota
27113,0.081,0.197,0.211,0.205,0.306,ALWAYS,Minnesota
27115,0.178,0.143,0.074,0.242,0.364,ALWAYS,Minnesota
27117,0.088,0.182,0.132,0.281,0.317,ALWAYS,Minnesota
27119,0.104,0.208,0.197,0.196,0.295,ALWAYS,Minnesota
27121,0.139,0.147,0.103,0.216,0.395,ALWAYS,Minnesota
27123,0.044,0.046,0.086,0.259,0.564,ALWAYS,Minnesota
27125,0.095,0.241,0.194,0.184,0.286,ALWAYS,Minnesota
27127,0.081,0.123,0.248,0.255,0.293,ALWAYS,Minnesota
27129,0.05,0.136,0.193,0.374,0.247,FREQUENTLY,Minnesota
27131,0.089,0.038,0.117,0.301,0.454,ALWAYS,Minnesota
27133,0.095,0.22,0.11,0.247,0.328,ALWAYS,Minnesota
27135,0.077,0.151,0.211,0.234,0.327,ALWAYS,Minnesota
27137,0.095,0.052,0.098,0.297,0.457,ALWAYS,Minnesota
27139,0.021,0.057,0.12,0.319,0.482,ALWAYS,Minnesota
27141,0.064,0.175,0.175,0.239,0.346,ALWAYS,Minnesota
27143,0.04,0.175,0.172,0.38,0.233,FREQUENTLY,Minnesota
27145,0.082,0.142,0.187,0.174,0.415,ALWAYS,Minnesota
27147,0.074,0.062,0.144,0.354,0.365,ALWAYS,Minnesota
27149,0.169,0.126,0.117,0.192,0.397,ALWAYS,Minnesota
27151,0.17,0.113,0.152,0.212,0.353,ALWAYS,Minnesota
27153,0.097,0.198,0.146,0.196,0.363,ALWAYS,Minnesota
27155,0.196,0.139,0.16,0.11,0.395,ALWAYS,Minnesota
27157,0.041,0.085,0.129,0.318,0.427,ALWAYS,Minnesota
27159,0.061,0.211,0.157,0.203,0.367,ALWAYS,Minnesota
27161,0.074,0.048,0.117,0.332,0.429,ALWAYS,Minnesota
27163,0.044,0.088,0.103,0.262,0.503,ALWAYS,Minnesota
27165,0.149,0.053,0.225,0.221,0.352,ALWAYS,Minnesota
27167,0.166,0.148,0.239,0.096,0.352,ALWAYS,Minnesota
27169,0.029,0.151,0.057,0.328,0.435,ALWAYS,Minnesota
27171,0.083,0.109,0.162,0.259,0.387,ALWAYS,Minnesota
27173,0.122,0.096,0.254,0.202,0.326,ALWAYS,Minnesota
29001,0.067,0.098,0.187,0.253,0.395,ALWAYS,Missouri
29003,0.133,0.197,0.164,0.234,0.272,ALWAYS,Missouri
29005,0.09,0.144,0.097,0.287,0.382,ALWAYS,Missouri
29007,0.11,0.078,0.203,0.281,0.327,ALWAYS,Missouri
29009,0.106,0.06,0.256,0.235,0.343,ALWAYS,Missouri
29011,0.15,0.131,0.134,0.111,0.474,ALWAYS,Missouri
29013,0.138,0.068,0.112,0.237,0.444,ALWAYS,Missouri
29015,0.188,0.122,0.168,0.277,0.245,FREQUENTLY,Missouri
29017,0.097,0.152,0.132,0.268,0.35,ALWAYS,Missouri
29019,0.073,0.075,0.113,0.224,0.515,ALWAYS,Missouri
29021,0.121,0.183,0.175,0.219,0.302,ALWAYS,Missouri
29023,0.189,0.175,0.16,0.135,0.342,ALWAYS,Missouri
29025,0.109,0.133,0.211,0.18,0.367,ALWAYS,Missouri
29027,0.123,0.12,0.217,0.196,0.344,ALWAYS,Missouri
29029,0.266,0.093,0.147,0.124,0.371,ALWAYS,Missouri
29031,0.08,0.109,0.137,0.285,0.389,ALWAYS,Missouri
29033,0.155,0.13,0.078,0.286,0.351,ALWAYS,Missouri
29035,0.159,0.285,0.151,0.125,0.281,RARELY,Missouri
29037,0.027,0.082,0.17,0.185,0.535,ALWAYS,Missouri
29039,0.275,0.056,0.173,0.155,0.341,ALWAYS,Missouri
29041,0.117,0.141,0.084,0.278,0.38,ALWAYS,Missouri
29043,0.13,0.113,0.053,0.253,0.451,ALWAYS,Missouri
29045,0.154,0.138,0.165,0.223,0.32,ALWAYS,Missouri
29047,0.033,0.037,0.076,0.199,0.655,ALWAYS,Missouri
29049,0.066,0.103,0.106,0.209,0.517,ALWAYS,Missouri
29051,0.087,0.185,0.107,0.187,0.434,ALWAYS,Missouri
29053,0.06,0.09,0.127,0.183,0.54,ALWAYS,Missouri
29055,0.167,0.148,0.136,0.159,0.391,ALWAYS,Missouri
29057,0.312,0.044,0.138,0.136,0.369,ALWAYS,Missouri
29059,0.165,0.143,0.167,0.154,0.371,ALWAYS,Missouri
29061,0.124,0.166,0.172,0.247,0.291,ALWAYS,Missouri
29063,0.144,0.133,0.159,0.241,0.323,ALWAYS,Missouri
29065,0.167,0.169,0.175,0.196,0.293,ALWAYS,Missouri
29067,0.285,0.149,0.07,0.167,0.328,ALWAYS,Missouri
29069,0.068,0.085,0.154,0.215,0.478,ALWAYS,Missouri
29071,0.122,0.086,0.1,0.233,0.458,ALWAYS,Missouri
29073,0.086,0.207,0.168,0.135,0.404,ALWAYS,Missouri
29075,0.101,0.166,0.182,0.299,0.251,FREQUENTLY,Missouri
29077,0.099,0.082,0.128,0.272,0.418,ALWAYS,Missouri
29079,0.195,0.193,0.129,0.247,0.236,FREQUENTLY,Missouri
29081,0.173,0.128,0.215,0.248,0.236,FREQUENTLY,Missouri
29083,0.128,0.147,0.117,0.345,0.262,FREQUENTLY,Missouri
29085,0.182,0.18,0.159,0.164,0.316,ALWAYS,Missouri
29087,0.129,0.223,0.156,0.232,0.26,ALWAYS,Missouri
29089,0.076,0.096,0.107,0.191,0.531,ALWAYS,Missouri
29091,0.301,0.142,0.208,0.107,0.242,NEVER,Missouri
29093,0.133,0.091,0.072,0.28,0.423,ALWAYS,Missouri
29095,0.027,0.066,0.088,0.21,0.609,ALWAYS,Missouri
29097,0.138,0.152,0.147,0.176,0.388,ALWAYS,Missouri
29099,0.042,0.117,0.178,0.216,0.447,ALWAYS,Missouri
29101,0.168,0.107,0.026,0.189,0.511,ALWAYS,Missouri
29103,0.082,0.112,0.182,0.271,0.353,ALWAYS,Missouri
29105,0.313,0.121,0.172,0.107,0.287,NEVER,Missouri
29107,0.033,0.098,0.052,0.247,0.571,ALWAYS,Missouri
29109,0.241,0.05,0.251,0.222,0.237,SOMETIMES,Missouri
29111,0.164,0.109,0.177,0.23,0.32,ALWAYS,Missouri
29113,0.063,0.119,0.236,0.282,0.299,ALWAYS,Missouri
29115,0.126,0.156,0.118,0.274,0.326,ALWAYS,Missouri
29117,0.15,0.228,0.111,0.25,0.26,ALWAYS,Missouri
