COUNTYFP,MODE_USAGE,STATE,USAGE,RESPONSE
16049,ALWAYS,Idaho,RARELY,0.094
16049,ALWAYS,Idaho,SOMETIMES,0.164
16049,ALWAYS,Idaho,FREQUENTLY,0.275
16049,ALWAYS,Idaho,ALWAYS,0.423
16051,ALWAYS,Idaho,NEVER,0.099
16051,ALWAYS,Idaho,RARELY,0.208
16051,ALWAYS,Idaho,SOMETIMES,0.192
16051,ALWAYS,Idaho,FREQUENTLY,0.249
16051,ALWAYS,Idaho,ALWAYS,0.252
16053,ALWAYS,Idaho,NEVER,0.175
16053,ALWAYS,Idaho,RARELY,0.219
16053,ALWAYS,Idaho,SOMETIMES,0.096
16053,ALWAYS,Idaho,FREQUENTLY,0.167
16053,ALWAYS,Idaho,ALWAYS,0.343
16055,ALWAYS,Idaho,NEVER,0.146
16055,ALWAYS,Idaho,RARELY,0.105
16055,ALWAYS,Idaho,SOMETIMES,0.17
16055,ALWAYS,Idaho,FREQUENTLY,0.22
16055,ALWAYS,Idaho,ALWAYS,0.359
16057,ALWAYS,Idaho,NEVER,0.002
16057,ALWAYS,Idaho,RARELY,0.012
16057,ALWAYS,Idaho,SOMETIMES,0.066
16057,ALWAYS,Idaho,FREQUENTLY,0.328
16057,ALWAYS,Idaho,ALWAYS,0.592
16059,ALWAYS,Idaho,NEVER,0.109
16059,ALWAYS,Idaho,RARELY,0.173
16059,ALWAYS,Idaho,SOMETIMES,0.231
16059,ALWAYS,Idaho,FREQUENTLY,0.125
16059,ALWAYS,Idaho,ALWAYS,0.362
16061,ALWAYS,Idaho,NEVER,0.027
16061,ALWAYS,Idaho,RARELY,0.073
16061,ALWAYS,Idaho,SOMETIMES,0.157
16061,ALWAYS,Idaho,FREQUENTLY,0.285
16061,ALWAYS,Idaho,ALWAYS,0.459
16063,ALWAYS,Idaho,NEVER,0.18
16063,ALWAYS,Idaho,RARELY,0.2
16063,ALWAYS,Idaho,SOMETIMES,0.105
16063,ALWAYS,Idaho,FREQUENTLY,0.135
16063,ALWAYS,Idaho,ALWAYS,0.379
16065,FREQUENTLY,Idaho,NEVER,0.101
16065,FREQUENTLY,Idaho,RARELY,0.207
16065,FREQUENTLY,Idaho,SOMETIMES,0.196
16065,FREQUENTLY,Idaho,FREQUENTLY,0.25
16065,FREQUENTLY,Idaho,ALWAYS,0.245
16067,ALWAYS,Idaho,NEVER,0.134
16067,ALWAYS,Idaho,RARELY,0.219
16067,ALWAYS,Idaho,SOMETIMES,0.106
16067,ALWAYS,Idaho,FREQUENTLY,0.152
16067,ALWAYS,Idaho,ALWAYS,0.39
16069,ALWAYS,Idaho,NEVER,0.009
16069,ALWAYS,Idaho,RARELY,0.03
16069,ALWAYS,Idaho,SOMETIMES,0.117
16069,ALWAYS,Idaho,FREQUENTLY,0.326
16069,ALWAYS,Idaho,ALWAYS,0.517
16071,ALWAYS,Idaho,NEVER,0.083
16071,ALWAYS,Idaho,RARELY,0.173
16071,ALWAYS,Idaho,SOMETIMES,0.153
16071,ALWAYS,Idaho,FREQUENTLY,0.185
16071,ALWAYS,Idaho,ALWAYS,0.406
16073,ALWAYS,Idaho,NEVER,0.123
16073,ALWAYS,Idaho,RARELY,0.137
16073,ALWAYS,Idaho,SOMETIMES,0.146
16073,ALWAYS,Idaho,FREQUENTLY,0.171
16073,ALWAYS,Idaho,ALWAYS,0.423
16075,ALWAYS,Idaho,NEVER,0.081
16075,ALWAYS,Idaho,RARELY,0.199
16075,ALWAYS,Idaho,SOMETIMES,0.174
16075,ALWAYS,Idaho,FREQUENTLY,0.242
16075,ALWAYS,Idaho,ALWAYS,0.304
16077,ALWAYS,Idaho,NEVER,0.078
16077,ALWAYS,Idaho,RARELY,0.205
16077,ALWAYS,Idaho,SOMETIMES,0.152
16077,ALWAYS,Idaho,FREQUENTLY,0.185
16077,ALWAYS,Idaho,ALWAYS,0.381
16079,ALWAYS,Idaho,NEVER,0.068
16079,ALWAYS,Idaho,RARELY,0.144
16079,ALWAYS,Idaho,SOMETIMES,0.299
16079,ALWAYS,Idaho,FREQUENTLY,0.147
